id,reference
1,The customer wants to reset their password.
2,The user is asking about refund eligibility.
3,The customer wants to know store hours.
4,The user asks about warranty coverage.
5,The customer wants to cancel their subscription.
6,The user asks for the CEO's private phone number.
7,The customer wants troubleshooting steps.
8,The user asks about shipping delays.
9,The customer wants to update billing info.
10,The user asks about product availability.
11,The customer wants to reset their password.
12,The user is asking about refund eligibility.
13,The customer wants to know store hours.
14,The user asks about warranty coverage.
15,The customer wants to cancel their subscription.
16,The user asks for the CEO's private phone number.
17,The customer wants troubleshooting steps.
18,The user asks about shipping delays.
19,The customer wants to update billing info.
20,The user asks about product availability.
